solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_217,-38.631942,146.815723,VIC,3971
AUS_SOLAR_REF_218,-33.2326994,116.7708935,WA,6392
AUS_SOLAR_REF_219,-36.988914,142.7154,VIC,3381
AUS_SOLAR_REF_220,-20.09048269,146.2505114,QLD,4820
AUS_SOLAR_REF_221,-36.70252045,140.7063031,SA,5271
AUS_SOLAR_REF_222,-25.8447,127.6841,WA,872
AUS_SOLAR_REF_223,-34.243279,142.100896,VIC,3501
AUS_SOLAR_REF_224,-32.445896,115.755289,WA,6175
AUS_SOLAR_REF_225,-23.2807675,126.954107,WA,872
AUS_SOLAR_REF_226,-16.503809,136.424191,NT,854
AUS_SOLAR_REF_227,-26.47801156,132.0252848,SA,872
AUS_SOLAR_REF_228,-28.777563,151.24801,QLD,4385
AUS_SOLAR_REF_229,-37.829752,145.049415,VIC,3123
AUS_SOLAR_REF_230,-31.44646535,149.2810155,NSW,2357
AUS_SOLAR_REF_231,-17.72028371,144.2385409,QLD,4871
AUS_SOLAR_REF_232,-32.685033,149.602925,NSW,2850
AUS_SOLAR_REF_233,-31.66545698,150.1491418,NSW,2343
AUS_SOLAR_REF_234,-41.456389,145.503726,TAS,7321
AUS_SOLAR_REF_235,-18.552533,146.49572,QLD,4850
AUS_SOLAR_REF_236,-38.44818,145.591284,VIC,3979
AUS_SOLAR_REF_237,-33.814887,146.667476,NSW,2669
AUS_SOLAR_REF_238,-27.464676,152.999039,QLD,4064
AUS_SOLAR_REF_239,-26.635087,152.917384,QLD,4560
AUS_SOLAR_REF_240,-22.580866,149.675382,QLD,4706
AUS_SOLAR_REF_241,-24.88776,152.297855,QLD,4670
AUS_SOLAR_REF_242,-37.39051,148.660943,VIC,3888
AUS_SOLAR_REF_243,-16.934184,145.994075,QLD,4871
AUS_SOLAR_REF_244,-34.321288,140.556181,SA,5343
AUS_SOLAR_REF_245,-37.826032,147.63201,VIC,3875
AUS_SOLAR_REF_246,-26.26329299,147.5374764,QLD,4467
AUS_SOLAR_REF_247,-17.384187,145.624143,QLD,4885
AUS_SOLAR_REF_248,-30.65609741,137.1683897,SA,5722
AUS_SOLAR_REF_249,-43.571087,146.524064,TAS,7109
AUS_SOLAR_REF_250,-32.248568,150.701949,NSW,2333
AUS_SOLAR_REF_251,-29.4494112,130.806497,SA,5690
AUS_SOLAR_REF_252,-34.41994907,135.6694704,SA,5630
AUS_SOLAR_REF_253,-33.208801,151.377213,NSW,2259
AUS_SOLAR_REF_254,-31.237406,115.82111,WA,6503
AUS_SOLAR_REF_255,-33.459192,145.479249,NSW,2675
AUS_SOLAR_REF_256,-29.77155683,133.9036619,SA,5719
AUS_SOLAR_REF_257,-31.955552,117.666205,WA,6384
AUS_SOLAR_REF_258,-18.8082,128.6014,WA,6770
AUS_SOLAR_REF_259,-33.15446058,138.7023315,SA,5491
AUS_SOLAR_REF_260,-34.595027,150.410978,NSW,2577
AUS_SOLAR_REF_261,-31.551822,145.406579,NSW,2835
AUS_SOLAR_REF_262,-30.466429,117.287007,WA,6470
AUS_SOLAR_REF_263,-17.293532,129.662008,WA,6743
AUS_SOLAR_REF_264,-30.1814995,150.3586846,NSW,2347
AUS_SOLAR_REF_265,-37.919937,145.945214,VIC,3821
AUS_SOLAR_REF_266,-22.449259,147.17431,QLD,4721
AUS_SOLAR_REF_267,-32.746224,152.193698,NSW,2315
AUS_SOLAR_REF_268,-30.22185073,152.6416587,NSW,2453
AUS_SOLAR_REF_269,-42.314526,148.281407,TAS,7215
AUS_SOLAR_REF_270,-40.782341,145.057623,TAS,7330
AUS_SOLAR_REF_271,-28.900034,121.092655,WA,6438
AUS_SOLAR_REF_272,-35.332477,142.425302,VIC,3489
AUS_SOLAR_REF_273,-37.330661,144.548846,VIC,3442
AUS_SOLAR_REF_274,-36.074144,141.538074,VIC,3418
AUS_SOLAR_REF_275,-34.641267,138.636537,SA,5117
AUS_SOLAR_REF_276,-31.973082,151.865806,NSW,2422
AUS_SOLAR_REF_277,-30.01165066,149.1501936,NSW,2386
AUS_SOLAR_REF_278,-22.810583,141.861769,QLD,4735
